,country_year,Forest_Cover(sq KMs)
189,TT_2001,2328.80004882813
190,TN_2001,8525.99975585938
191,TR_2001,102787.998046875
192,TV_2001,10.0
193,TZ_2001,515200.0
194,UG_2001,37810.0
195,UA_2001,95230.0
196,UY_2001,14001.199951171899
197,US_2001,3037801.875
198,UZ_2001,32286.0009765625
199,VC_2001,260.0
200,VE_2001,488633.984375
201,VG_2001,36.7000007629395
202,VI_2001,201.20000839233398
203,VN_2001,119970.0
204,VU_2001,4400.0
205,WS_2001,1710.0
206,YE_2001,5490.0
207,ZA_2001,92410.0
208,ZM_2001,509673.984375
209,ZW_2001,185670.0
0,AW_2002,4.19999986886978
1,AF_2002,13500.0
2,AO_2002,594783.984375
3,AL_2002,7745.399780273441
4,AD_2002,160.0
5,AE_2002,3107.99987792969
6,AR_2002,311904.00390625
7,AM_2002,3326.00006103516
8,AS_2002,179.79999542236303
9,AG_2002,99.2000007629395
10,AU_2002,1283610.0
11,AT_2002,38431.9995117188
12,AZ_2002,8739.600219726559
13,BI_2002,1911.99996948242
14,BE_2002,6700.59997558594
15,BJ_2002,49610.0
16,BF_2002,61283.9990234375
17,BD_2002,14628.0004882813
18,BG_2002,34853.9990234375
19,BH_2002,4.00000005960464
20,BS_2002,5150.0
21,BA_2002,21850.0
22,BY_2002,83382.001953125
23,BZ_2002,14421.8994140625
24,BM_2002,10.0
25,BO_2002,595481.9921875
26,BR_2002,5154580.0
27,BB_2002,63.000001907348604
28,BN_2002,3937.99987792969
29,BT_2002,26258.601074218797
30,BW_2002,122982.001953125
31,CF_2002,223728.0078125
32,CA_2002,3477115.9375
33,CH_2002,12031.9995117188
34,CL_2002,159172.001953125
35,CN_2002,1834178.59375
36,CI_2002,103587.998046875
37,CM_2002,216760.0
38,CD_2002,1566262.03125
39,CG_2002,225220.0
40,CO_2002,611596.09375
41,KM_2002,437.999992370605
42,CV_2002,826.900024414063
43,CR_2002,24220.0
44,CU_2002,25398.000488281297
45,KY_2002,126.999998092651
46,CY_2002,1721.10000610352
47,CZ_2002,26410.0
48,DE_2002,113660.0
49,DJ_2002,55.999999046325705
50,DM_2002,467.900009155273
51,DK_2002,5743.80004882813
52,DO_2002,15524.000244140601
53,DZ_2002,15618.0004882813
54,EC_2002,135714.404296875
55,EG_2002,622.000007629395
56,ER_2002,15671.9995117188
57,ES_2002,170990.0
58,EE_2002,22466.0009765625
59,ET_2002,134230.0
60,FI_2002,223241.9921875
61,FJ_2002,9871.699829101559
62,FR_2002,155177.998046875
63,FO_2002,0.799999982118607
64,FM_2002,639.099998474121
65,GA_2002,220000.0
66,GB_2002,29808.000488281297
67,GE_2002,27653.601074218797
68,GH_2002,89665.99609375
69,GI_2002,0.0
70,GN_2002,68320.0
71,GM_2002,4650.0
72,GW_2002,21008.000488281297
73,GQ_2002,17198.000488281297
74,GR_2002,36613.9990234375
75,GD_2002,169.899997711182
76,GL_2002,2.1999999880790697
77,GT_2002,41000.0
78,GU_2002,250.0
79,GY_2002,166140.0
80,HN_2002,61520.0
81,HR_2002,18921.999511718797
82,HT_2002,1074.00001525879
83,HU_2002,19434.0002441406
84,ID_2002,987882.03125
85,IM_2002,34.6000003814697
86,IN_2002,663176.015625
87,IE_2002,6589.00024414063
88,IR_2002,98721.904296875
89,IQ_2002,8207.999877929691
90,IS_2002,318.799991607666
91,IL_2002,1538.00003051758
92,IT_2002,85250.0
93,JM_2002,3402.20001220703
94,JO_2002,975.0
95,JP_2002,248995.99609375
96,KZ_2002,33538.0004882813
97,KE_2002,37530.0
98,KG_2002,8627.000122070309
99,KH_2002,112200.0
100,KI_2002,121.499996185303
101,KN_2002,110.0
102,KR_2002,62747.998046875
103,KW_2002,51.3000011444092
104,LA_2002,166634.8046875
105,LB_2002,1331.9999694824198
106,LR_2002,45690.0
107,LY_2002,2170.0
108,LC_2002,210.799999237061
109,LI_2002,69.0000009536743
110,LK_2002,21623.9990234375
111,LS_2002,424.000015258789
112,LT_2002,20603.9990234375
113,LU_2002,866.999969482422
114,LV_2002,32633.9990234375
115,MF_2002,10.0
116,MA_2002,51562.001953125
117,MD_2002,3396.00006103516
118,MG_2002,129490.0
119,MV_2002,10.0
120,MX_2002,675467.96875
121,MH_2002,126.400003433228
122,MK_2002,9647.999877929691
123,ML_2002,57420.0
124,MT_2002,3.49999994039536
125,MM_2002,342491.9921875
126,ME_2002,6260.0
127,MN_2002,115534.00390625
128,MP_2002,316.399993896484
129,MZ_2002,407443.984375
130,MR_2002,2970.0
131,MU_2002,404.19998168945295
132,MW_2002,35010.0
133,MY_2002,213105.99609375
135,NC_2002,8390.0
136,NE_2002,13031.9995117188
137,NG_2002,123177.998046875
138,NI_2002,36740.0
139,NL_2002,3620.0
140,NO_2002,121045.99609375
141,NP_2002,37943.9990234375
142,NR_2002,0.0
143,NZ_2002,101565.99609375
144,OM_2002,20.0
145,PK_2002,20304.0002441406
146,PA_2002,48330.0
147,PE_2002,758993.984375
148,PH_2002,70457.998046875
149,PW_2002,398.69998931884805
150,PG_2002,335943.984375
151,PL_2002,91154.00390625
152,PR_2002,4552.00012207031
153,KP_2002,66793.9990234375
154,PT_2002,33241.9995117188
155,PY_2002,190108.0078125
156,PS_2002,91.1999988555908
157,PF_2002,1150.0
158,QA_2002,0.0
159,RO_2002,63760.0
160,RU_2002,8090771.25
161,RW_2002,3603.99993896484
162,SA_2002,9770.0
163,SD_2002,199075.99609375
164,SN_2002,88080.0
165,SG_2002,163.500003814697
166,SB_2002,22571.999511718797
167,SL_2002,28828.000488281297
168,SV_2002,3227.99987792969
169,SM_2002,0.0
170,SO_2002,73613.9990234375
171,RS_2002,24760.0
172,SS_2002,71570.0
173,ST_2002,560.0
174,SR_2002,153830.0
175,SK_2002,19254.0002441406
176,SI_2002,12370.0
177,SE_2002,281850.0
178,SZ_2002,5272.00012207031
179,SC_2002,406.69998168945295
180,SY_2002,4436.00006103516
181,TC_2002,344.000015258789
182,TD_2002,62520.0
183,TG_2002,4460.0
184,TH_2002,166465.99609375
185,TJ_2002,4100.0
186,TM_2002,41270.0
187,TL_2002,8315.99975585938
188,TO_2002,90.0
189,TT_2002,2321.6000366210897
190,TN_2002,8682.000122070309
191,TR_2002,103745.99609375
192,TV_2002,10.0
193,TZ_2002,511200.0
194,UG_2002,36930.0
195,UA_2002,95360.0
196,UY_2002,14305.400390625
197,US_2002,3040244.0625
198,UZ_2002,32451.999511718797
199,VC_2002,260.0
200,VE_2002,485758.0078125
201,VG_2002,36.7000007629395
202,VI_2002,197.70000457763697
203,VN_2002,122670.0
204,VU_2002,4400.0
205,WS_2002,1710.0
206,YE_2002,5490.0
207,ZA_2002,92410.0
208,ZM_2002,508008.0078125
209,ZW_2002,182400.0
0,AW_2003,4.19999986886978
1,AF_2003,13500.0
2,AO_2003,593536.015625
3,AL_2003,7771.599731445309
4,AD_2003,160.0
5,AE_2003,3112.00012207031
6,AR_2003,308555.99609375
7,AM_2003,3323.99993896484
8,AS_2003,179.500007629395
9,AG_2003,98.8000011444092
10,AU_2003,1281210.0
11,AT_2003,38458.0004882813
12,AZ_2003,8750.399780273441
13,BI_2003,1878.00003051758
14,BE_2003,6714.40002441406
15,BJ_2003,49110.0
16,BF_2003,60686.0009765625
17,BD_2003,14601.9995117188
18,BG_2003,35406.0009765625
19,BH_2003,4.19999986886978
20,BS_2003,5150.0
21,BA_2003,21850.0
22,BY_2003,83707.998046875
23,BZ_2003,14336.400146484399
24,BM_2003,10.0
25,BO_2003,592768.0078125
26,BR_2003,5125500.0
27,BB_2003,63.000001907348604
28,BN_2003,3922.00012207031
29,BT_2003,26357.900390625
30,BW_2003,121797.998046875
31,CF_2003,223571.9921875
32,CA_2003,3476664.0625
33,CH_2003,12078.0004882813
34,CL_2003,159587.998046875
35,CN_2003,1866265.46875
36,CI_2003,103742.001953125
37,CM_2003,214560.0
38,CD_2003,1563147.96875
39,CG_2003,225050.0
40,CO_2003,608401.9140625
41,KM_2003,432.000007629395
42,CV_2003,829.899978637695
43,CR_2003,24450.0
44,CU_2003,25921.999511718797
45,KY_2003,126.999998092651
46,CY_2003,1723.50006103516
47,CZ_2003,26430.0
48,DE_2003,113720.0
49,DJ_2003,55.999999046325705
50,DM_2003,465.299987792969
51,DK_2003,5688.20007324219
52,DO_2003,15855.999755859399
53,DZ_2003,15531.9995117188
54,EC_2003,134927.099609375
55,EG_2003,637.999992370605
56,ER_2003,15628.0004882813
57,ES_2003,171600.29296875
58,EE_2003,22483.9990234375
59,ET_2003,132820.0
60,FI_2003,222638.0078125
61,FJ_2003,9905.30029296875
62,FR_2003,156322.001953125
63,FO_2003,0.799999982118607
64,FM_2003,639.3999862670901
65,GA_2003,220000.0
66,GB_2003,29941.999511718797
67,GE_2003,27677.399902343797
68,GH_2003,89954.00390625
69,GI_2003,0.0
70,GN_2003,67960.0
71,GM_2003,4670.0
72,GW_2003,20911.999511718797
73,GQ_2003,17081.999511718797
74,GR_2003,36916.0009765625
75,GD_2003,169.899997711182
76,GL_2003,2.1999999880790697
77,GT_2003,40460.0
78,GU_2003,250.0
79,GY_2003,166100.0
80,HN_2003,60320.0
81,HR_2003,18958.000488281297
82,HT_2003,1065.99998474121
83,HU_2003,19565.9997558594
84,ID_2003,984777.96875
85,IM_2003,34.6000003814697
86,IN_2003,667813.984375
87,IE_2003,6708.80004882813
88,IR_2003,101454.501953125
